Waste_Type,Quantity_kg,Location,CBG_Yield,Revenue,Slurry
Fruit Waste,4725,Madurai,326.13,21198.45,1260.66
Food Waste,7633,Madurai,497.1,32311.5,3425.36
Agricultural Residue,6397,Madurai,323.95,21056.75,1818.43
Poultry Waste,5523,Salem,321.39,20890.35,1855.3
Food Waste,4483,Madurai,294.03,19111.95,1930.95
Fruit Waste,8689,Coimbatore,648.23,42134.95,3832.75
Food Waste,782,Coimbatore,52.43,3407.95,243.4
Cow Dung,6361,Coimbatore,402.33,26151.45,2804.02
Vegetable Waste,3657,Trichy,161.56,10501.4,1319.21
Fruit Waste,7531,Salem,592.96,38542.4,3315.12
Food Waste,4163,Coimbatore,219.59,14273.35,1608.91
Food Waste,146,Madurai,9.8,637.0,38.34
Cow Dung,2938,Chennai,233.88,15202.2,1033.3
Fruit Waste,8433,Chennai,576.46,37469.9,2193.56
Agricultural Residue,2600,Chennai,200.98,13063.7,945.01
Agricultural Residue,765,Coimbatore,41.0,2665.0,264.15
Agricultural Residue,4772,Trichy,247.63,16095.95,1871.7
Food Waste,7093,Coimbatore,554.14,36019.1,3189.53
Cow Dung,5122,Chennai,330.25,21466.25,1601.64
Vegetable Waste,8728,Coimbatore,682.14,44339.1,3696.23
Agricultural Residue,8004,Chennai,524.46,34089.9,2941.98
Cow Dung,2174,Coimbatore,159.86,10390.9,964.44
Vegetable Waste,8389,Coimbatore,555.19,36087.35,3414.19
Food Waste,6255,Coimbatore,495.52,32208.8,2104.84
Cow Dung,8295,Trichy,639.1,41541.5,2640.37
Cow Dung,3889,Salem,165.84,10779.6,1503.44
Vegetable Waste,4523,Trichy,358.51,23303.15,1419.49
Cow Dung,2373,Coimbatore,107.35,6977.75,733.14
Cow Dung,9870,Madurai,774.47,50340.55,2641.73
Fruit Waste,6707,Coimbatore,318.57,20707.05,2761.77
Food Waste,7012,Trichy,361.24,23480.6,2071.42
Agricultural Residue,5087,Salem,348.43,22647.95,1660.24
Agricultural Residue,1494,Coimbatore,73.26,4761.9,430.83
